order_id,date,item_name,item_type,item_price,quantity,transaction_amount,transaction_type,received_by,time_of_sale,day_of_week,hour,customer_type,order_channel,preparation_time_minutes,item_popularity,profit_percent
54,01-04-2024,Panipuri,Fastfood,20,14,280,Online,Mrs.,Morning,Monday,22:20,Regular,Online,10,High Demand,47
55,01-04-2024,Sandwich,Fastfood,60,10,600,Cash,Mr.,Night,Tuesday,04:07,New,Dine-In,16,Normal Demand,50
56,02-04-2024,Panipuri,Fastfood,20,11,220,Cash,Mrs.,Midnight,Monday,03:09,Returning,Dine-In,24,High Demand,5
57,02-04-2024,Panipuri,Fastfood,20,14,280,Online,Mrs.,Morning,Friday,20:59,Regular,Online,7,High Demand,55
58,02-04-2024,Vadapav,Fastfood,20,6,120,Online,Mrs.,Morning,Thursday,21:41,Returning,Takeaway,18,Normal Demand,16
59,02-04-2024,Vadapav,Fastfood,20,5,100,Cash,Mr.,Morning,Friday,05:40,New,Online,13,Normal Demand,75
60,02-04-2024,Cold coffee,Beverages,40,2,80,Online,Mr.,Night,Sunday,15:16,Regular,Online,14,High Demand,69
61,02-04-2024,Vadapav,Fastfood,20,14,280,Cash,Mrs.,Afternoon,Monday,12:51,New,Online,23,Normal Demand,93
62,02-04-2024,Sugarcane juice,Beverages,25,3,75,Cash,Mr.,Afternoon,Monday,13:10,Regular,Dine-In,19,High Demand,75
63,02-04-2024,Sandwich,Fastfood,60,7,420,Online,Mrs.,Morning,Wednesday,07:58,Returning,Takeaway,6,Normal Demand,37
64,02-04-2024,Cold coffee,Beverages,40,1,40,Cash,Mr.,Morning,Monday,18:30,Regular,Takeaway,13,High Demand,97
65,02-04-2024,Aalopuri,Fastfood,20,4,80,Cash,Mr.,Morning,Monday,21:19,Returning,Online,19,Normal Demand,42
66,02-04-2024,Frankie,Fastfood,50,2,100,Cash,Mrs.,Morning,Wednesday,17:45,Regular,Takeaway,7,Normal Demand,33
67,02-04-2024,Aalopuri,Fastfood,20,9,180,Cash,Mr.,Midnight,Monday,21:25,Regular,Online,15,Normal Demand,91
68,02-04-2024,Cold coffee,Beverages,40,2,80,Card,Mr.,Night,Monday,02:16,Returning,Online,14,High Demand,38
69,02-04-2024,Vadapav,Fastfood,20,7,140,Cash,Mr.,Midnight,Sunday,15:41,New,Online,6,Normal Demand,8
70,02-04-2024,Cold coffee,Beverages,40,14,560,Card,Mrs.,Morning,Monday,23:43,New,Takeaway,24,High Demand,47
71,02-04-2024,Cold coffee,Beverages,40,6,240,Online,Mr.,Night,Thursday,12:36,Regular,Takeaway,12,High Demand,80
72,02-04-2024,Frankie,Fastfood,50,13,650,Online,Mr.,Afternoon,Sunday,22:27,Regular,Dine-In,10,Normal Demand,19
73,02-04-2024,Panipuri,Fastfood,20,5,100,Cash,Mr.,Midnight,Monday,08:19,Returning,Online,6,High Demand,47
74,02-04-2024,Cold coffee,Beverages,40,10,400,Online,Mrs.,Evening,Monday,21:24,New,Dine-In,6,High Demand,13
75,02-04-2024,Cold coffee,Beverages,40,6,240,Online,Mrs.,Afternoon,Thursday,22:52,Regular,Dine-In,8,High Demand,69
76,02-04-2024,Vadapav,Fastfood,20,9,180,Online,Mr.,Morning,Monday,14:21,Returning,Takeaway,19,Normal Demand,48
77,02-04-2024,Sugarcane juice,Beverages,25,12,300,Cash,Mrs.,Midnight,Sunday,16:58,New,Takeaway,10,High Demand,34
78,02-04-2024,Vadapav,Fastfood,20,4,80,Cash,Mrs.,Evening,Monday,12:08,Returning,Takeaway,14,Normal Demand,23
79,02-04-2024,Panipuri,Fastfood,20,6,120,Online,Mr.,Night,Wednesday,07:09,Regular,Dine-In,18,High Demand,57
80,02-04-2024,Frankie,Fastfood,50,13,650,Cash,Mr.,Evening,Monday,12:19,Regular,Online,11,Normal Demand,67
81,02-04-2024,Frankie,Fastfood,50,12,600,Online,Mrs.,Night,Monday,23:00,Returning,Online,13,Normal Demand,95
82,02-04-2024,Frankie,Fastfood,50,3,150,Online,Mrs.,Evening,Monday,00:52,Regular,Dine-In,14,Normal Demand,44
83,02-04-2024,Frankie,Fastfood,50,11,550,Card,Mr.,Evening,Monday,04:20,Regular,Takeaway,23,Normal Demand,17
84,02-04-2024,Panipuri,Fastfood,20,13,260,Cash,Mr.,Midnight,Friday,11:06,Returning,Dine-In,23,High Demand,84
85,02-04-2024,Aalopuri,Fastfood,20,3,60,Online,Mrs.,Night,Monday,08:37,New,Online,10,Normal Demand,63
86,02-04-2024,Aalopuri,Fastfood,20,15,300,Cash,Mr.,Morning,Sunday,14:57,New,Takeaway,10,Normal Demand,71
87,02-04-2024,Aalopuri,Fastfood,20,8,160,Cash,Mr.,Night,Monday,08:59,New,Takeaway,13,Normal Demand,10
88,02-04-2024,Cold coffee,Beverages,40,10,400,Cash,Mr.,Evening,Thursday,15:06,New,Dine-In,9,High Demand,32
89,02-04-2024,Aalopuri,Fastfood,20,14,280,Cash,Mr.,Evening,Monday,02:47,Regular,Online,16,Normal Demand,77
90,02-04-2024,Vadapav,Fastfood,20,15,300,Online,Mr.,Night,Monday,07:21,New,Takeaway,15,Normal Demand,84
91,02-04-2024,Cold coffee,Beverages,40,6,240,Card,Mrs.,Evening,Monday,16:50,New,Online,14,High Demand,44
92,02-04-2024,Aalopuri,Fastfood,20,15,300,Cash,Mr.,Afternoon,Monday,11:36,Regular,Dine-In,14,Normal Demand,81
93,02-04-2024,Cold coffee,Beverages,40,2,80,Online,Mrs.,Midnight,Monday,17:43,Returning,Dine-In,22,High Demand,85
94,02-04-2024,Aalopuri,Fastfood,20,15,300,Card,Mrs.,Night,Monday,15:50,New,Online,7,Normal Demand,39
95,02-04-2024,Sugarcane juice,Beverages,25,8,200,Online,Mr.,Night,Monday,07:53,Regular,Dine-In,20,High Demand,90
96,02-04-2024,Sandwich,Fastfood,60,15,900,Card,Mr.,Morning,Monday,10:08,Regular,Dine-In,16,Normal Demand,29
97,02-04-2024,Cold coffee,Beverages,40,13,520,Online,Mr.,Evening,Monday,23:43,Returning,Dine-In,20,High Demand,24
98,02-04-2024,Vadapav,Fastfood,20,1,20,Online,Mr.,Morning,Monday,23:08,New,Takeaway,16,Normal Demand,69
99,02-04-2024,Sugarcane juice,Beverages,25,3,75,Cash,Mr.,Evening,Wednesday,00:56,Returning,Dine-In,20,High Demand,64
100,02-04-2024,Panipuri,Fastfood,20,11,220,Card,Mr.,Morning,Friday,16:37,Regular,Takeaway,17,High Demand,14
101,02-04-2024,Vadapav,Fastfood,20,3,60,Online,Mrs.,Morning,Monday,11:11,Regular,Online,19,Normal Demand,84
102,02-04-2024,Cold coffee,Beverages,40,14,560,Cash,Mr.,Morning,Monday,00:17,Returning,Dine-In,13,High Demand,20
103,02-04-2024,Cold coffee,Beverages,40,8,320,Online,Mrs.,Midnight,Monday,15:53,Regular,Dine-In,22,High Demand,81
104,02-04-2024,Cold coffee,Beverages,40,13,520,Online,Mr.,Morning,Monday,00:38,Regular,Takeaway,10,High Demand,1
105,02-04-2024,Panipuri,Fastfood,20,8,160,Cash,Mrs.,Evening,Monday,07:13,New,Takeaway,19,High Demand,80
106,02-04-2024,Frankie,Fastfood,50,9,450,Cash,Mrs.,Evening,Monday,16:49,Returning,Takeaway,11,Normal Demand,79
107,02-04-2024,Sandwich,Fastfood,60,4,240,Online,Mr.,Afternoon,Sunday,19:43,Returning,Takeaway,20,Normal Demand,79
108,02-04-2024,Panipuri,Fastfood,20,5,100,Online,Mr.,Afternoon,Wednesday,09:04,Regular,Online,21,High Demand,67
109,02-04-2024,Cold coffee,Beverages,40,12,480,Card,Mr.,Afternoon,Monday,19:16,Returning,Online,8,High Demand,48
110,02-04-2024,Panipuri,Fastfood,20,2,40,Online,Mrs.,Morning,Monday,20:50,Regular,Takeaway,17,High Demand,71
111,03-04-2024,Sandwich,Fastfood,60,8,480,Cash,Mrs.,Midnight,Saturday,10:21,Returning,Online,15,Normal Demand,28
112,03-04-2024,Sandwich,Fastfood,60,7,420,Cash,Mr.,Morning,Monday,04:02,New,Takeaway,12,Normal Demand,79
113,03-04-2024,Aalopuri,Fastfood,20,8,160,Cash,Mr.,Afternoon,Monday,15:36,Returning,Dine-In,10,Normal Demand,56
114,03-04-2024,Aalopuri,Fastfood,20,10,200,Online,Mr.,Afternoon,Monday,00:53,Regular,Takeaway,17,Normal Demand,46
115,03-04-2024,Aalopuri,Fastfood,20,13,260,Card,Mr.,Evening,Friday,21:33,Regular,Online,21,Normal Demand,51
116,03-04-2024,Sugarcane juice,Beverages,25,13,325,Cash,Mr.,Evening,Monday,09:58,Returning,Takeaway,11,High Demand,57
117,03-04-2024,Frankie,Fastfood,50,7,350,Online,Mrs.,Evening,Sunday,18:06,New,Takeaway,11,Normal Demand,4
118,03-04-2024,Sandwich,Fastfood,60,1,60,Online,Mr.,Midnight,Tuesday,17:40,New,Online,22,Normal Demand,14
119,03-04-2024,Panipuri,Fastfood,20,10,200,Cash,Mr.,Evening,Monday,11:38,New,Online,20,High Demand,25
120,03-04-2024,Frankie,Fastfood,50,2,100,Cash,Mrs.,Evening,Friday,23:59,New,Dine-In,19,Normal Demand,12
121,03-04-2024,Cold coffee,Beverages,40,8,320,Cash,Mr.,Afternoon,Monday,19:31,Regular,Dine-In,16,High Demand,44
122,03-04-2024,Panipuri,Fastfood,20,3,60,Card,Mrs.,Night,Monday,21:49,Returning,Takeaway,7,High Demand,67
123,03-04-2024,Cold coffee,Beverages,40,6,240,Online,Mr.,Evening,Tuesday,02:08,Returning,Dine-In,8,High Demand,66
124,03-04-2024,Sugarcane juice,Beverages,25,13,325,Card,Mrs.,Evening,Monday,11:02,Regular,Online,6,High Demand,48
125,03-04-2024,Vadapav,Fastfood,20,7,140,Cash,Mrs.,Midnight,Tuesday,22:42,Returning,Online,11,Normal Demand,86
126,03-04-2024,Panipuri,Fastfood,20,11,220,Online,Mrs.,Night,Thursday,19:00,Regular,Takeaway,5,High Demand,57
127,03-04-2024,Aalopuri,Fastfood,20,1,20,Card,Mrs.,Morning,Saturday,10:52,Returning,Takeaway,14,Normal Demand,8
128,03-04-2024,Vadapav,Fastfood,20,11,220,Online,Mr.,Midnight,Friday,01:01,New,Takeaway,5,Normal Demand,77
129,03-04-2024,Panipuri,Fastfood,20,13,260,Cash,Mrs.,Morning,Monday,06:41,Regular,Dine-In,24,High Demand,58
130,03-04-2024,Sugarcane juice,Beverages,25,7,175,Cash,Mr.,Night,Monday,13:27,Regular,Online,14,High Demand,64
131,03-04-2024,Sandwich,Fastfood,60,8,480,Cash,Mr.,Night,Monday,15:38,Regular,Takeaway,5,Normal Demand,57
132,03-04-2024,Vadapav,Fastfood,20,4,80,Online,Mrs.,Night,Thursday,22:37,New,Takeaway,8,Normal Demand,56
133,03-04-2024,Aalopuri,Fastfood,20,5,100,Online,Mr.,Midnight,Monday,02:26,New,Takeaway,8,Normal Demand,10
134,03-04-2024,Aalopuri,Fastfood,20,12,240,Online,Mrs.,Night,Monday,09:28,New,Takeaway,18,Normal Demand,56
135,03-04-2024,Aalopuri,Fastfood,20,8,160,Online,Mr.,Midnight,Monday,06:30,Regular,Online,20,Normal Demand,80
136,03-04-2024,Aalopuri,Fastfood,20,15,300,Online,Mr.,Morning,Monday,23:40,Regular,Dine-In,14,Normal Demand,31
137,03-04-2024,Sugarcane juice,Beverages,25,6,150,Card,Mr.,Afternoon,Monday,03:42,New,Dine-In,19,High Demand,61
138,03-04-2024,Sandwich,Fastfood,60,15,900,Online,Mr.,Night,Sunday,05:26,New,Dine-In,6,Normal Demand,4
139,03-04-2024,Frankie,Fastfood,50,11,550,Online,Mrs.,Night,Monday,07:21,Regular,Takeaway,11,Normal Demand,35
140,03-04-2024,Frankie,Fastfood,50,13,650,Cash,Mr.,Night,Tuesday,02:02,Returning,Dine-In,5,Normal Demand,44
141,03-04-2024,Aalopuri,Fastfood,20,4,80,Card,Mr.,Evening,Monday,15:46,Regular,Online,13,Normal Demand,99
142,03-04-2024,Sugarcane juice,Beverages,25,12,300,Cash,Mrs.,Morning,Monday,12:13,New,Online,5,High Demand,22
143,03-04-2024,Frankie,Fastfood,50,8,400,Card,Mrs.,Afternoon,Monday,13:26,Returning,Online,20,Normal Demand,28
144,03-04-2024,Panipuri,Fastfood,20,10,200,Cash,Mrs.,Evening,Monday,21:59,New,Takeaway,15,High Demand,41
145,03-04-2024,Sandwich,Fastfood,60,14,840,Online,Mr.,Morning,Saturday,10:47,Regular,Takeaway,20,Normal Demand,100
146,03-04-2024,Frankie,Fastfood,50,4,200,Card,Mrs.,Afternoon,Monday,07:20,New,Online,16,Normal Demand,86
147,03-04-2024,Panipuri,Fastfood,20,7,140,Online,Mr.,Evening,Monday,09:28,New,Online,5,High Demand,4
148,03-04-2024,Sandwich,Fastfood,60,13,780,Online,Mr.,Evening,Monday,19:19,New,Dine-In,12,Normal Demand,24
149,03-04-2024,Sandwich,Fastfood,60,7,420,Online,Mr.,Morning,Thursday,12:37,New,Dine-In,5,Normal Demand,83
150,03-04-2024,Cold coffee,Beverages,40,14,560,Cash,Mr.,Afternoon,Monday,04:09,Returning,Dine-In,6,High Demand,6
151,03-04-2024,Frankie,Fastfood,50,13,650,Online,Mrs.,Morning,Friday,16:57,Returning,Takeaway,23,Normal Demand,86
152,03-04-2024,Cold coffee,Beverages,40,9,360,Online,Mr.,Afternoon,Monday,17:59,Regular,Takeaway,23,High Demand,29
153,03-04-2024,Panipuri,Fastfood,20,1,20,Cash,Mrs.,Evening,Monday,05:17,Regular,Dine-In,7,High Demand,92
154,03-04-2024,Vadapav,Fastfood,20,3,60,Cash,Mr.,Night,Monday,13:13,New,Dine-In,13,Normal Demand,30
155,03-04-2024,Sugarcane juice,Beverages,25,10,250,Cash,Mrs.,Evening,Sunday,13:32,Returning,Takeaway,10,High Demand,44
156,03-04-2024,Panipuri,Fastfood,20,14,280,Cash,Mr.,Midnight,Monday,04:38,Regular,Takeaway,13,High Demand,67
157,03-04-2024,Frankie,Fastfood,50,7,350,Online,Mrs.,Midnight,Monday,00:38,New,Online,17,Normal Demand,13
158,03-04-2024,Aalopuri,Fastfood,20,2,40,Card,Mr.,Midnight,Monday,17:02,Regular,Dine-In,12,Normal Demand,56
159,03-04-2024,Sugarcane juice,Beverages,25,1,25,Online,Mrs.,Afternoon,Thursday,14:42,Returning,Online,21,High Demand,51
160,03-04-2024,Vadapav,Fastfood,20,10,200,Online,Mr.,Night,Monday,17:03,New,Dine-In,6,Normal Demand,79
161,03-04-2024,Sugarcane juice,Beverages,25,12,300,Cash,Mr.,Evening,Monday,09:20,New,Dine-In,16,High Demand,100
162,03-04-2024,Aalopuri,Fastfood,20,11,220,Cash,Mr.,Midnight,Tuesday,12:43,New,Takeaway,19,Normal Demand,67
163,03-04-2024,Frankie,Fastfood,50,6,300,Online,Mrs.,Midnight,Thursday,23:53,New,Dine-In,16,Normal Demand,41
164,03-04-2024,Sugarcane juice,Beverages,25,7,175,Online,Mr.,Afternoon,Saturday,05:38,New,Takeaway,18,High Demand,41
165,03-04-2024,Sandwich,Fastfood,60,11,660,Cash,Mr.,Midnight,Monday,15:09,Returning,Dine-In,17,Normal Demand,42
166,04-04-2024,Panipuri,Fastfood,20,6,120,Cash,Mrs.,Evening,Thursday,03:40,Regular,Dine-In,8,High Demand,82
167,04-04-2024,Cold coffee,Beverages,40,6,240,Cash,Mrs.,Morning,Monday,01:02,Returning,Takeaway,20,High Demand,33
168,04-04-2024,Sandwich,Fastfood,60,4,240,Cash,Mrs.,Midnight,Monday,22:13,Regular,Dine-In,10,Normal Demand,17
169,04-04-2024,Vadapav,Fastfood,20,6,120,Cash,Mr.,Morning,Monday,03:07,New,Takeaway,8,Normal Demand,34
170,04-04-2024,Aalopuri,Fastfood,20,6,120,Card,Mrs.,Afternoon,Monday,15:59,New,Dine-In,15,Normal Demand,3
171,04-04-2024,Vadapav,Fastfood,20,11,220,Cash,Mrs.,Midnight,Friday,12:22,Returning,Takeaway,17,Normal Demand,11
172,04-04-2024,Sugarcane juice,Beverages,25,6,150,Online,Mrs.,Night,Monday,19:33,New,Dine-In,12,High Demand,10
173,04-04-2024,Cold coffee,Beverages,40,2,80,Online,Mr.,Night,Monday,13:47,Returning,Dine-In,6,High Demand,78
174,04-04-2024,Aalopuri,Fastfood,20,2,40,Online,Mr.,Evening,Wednesday,16:58,New,Online,24,Normal Demand,73
175,04-04-2024,Frankie,Fastfood,50,12,600,Cash,Mrs.,Afternoon,Monday,21:59,Returning,Dine-In,21,Normal Demand,70
176,04-04-2024,Panipuri,Fastfood,20,1,20,Cash,Mrs.,Midnight,Friday,19:09,Returning,Online,14,High Demand,47
177,04-04-2024,Panipuri,Fastfood,20,11,220,Online,Mrs.,Morning,Monday,17:23,Regular,Dine-In,11,High Demand,72
178,04-04-2024,Aalopuri,Fastfood,20,2,40,Cash,Mrs.,Morning,Monday,03:24,New,Dine-In,22,Normal Demand,17
179,04-04-2024,Sugarcane juice,Beverages,25,5,125,Card,Mrs.,Midnight,Friday,04:47,Returning,Online,12,High Demand,91
180,04-04-2024,Vadapav,Fastfood,20,6,120,Online,Mrs.,Afternoon,Wednesday,11:20,Returning,Takeaway,9,Normal Demand,51
181,04-04-2024,Cold coffee,Beverages,40,7,280,Cash,Mrs.,Night,Tuesday,15:13,New,Dine-In,10,High Demand,94
182,04-04-2024,Cold coffee,Beverages,40,1,40,Cash,Mr.,Midnight,Monday,16:45,Returning,Dine-In,16,High Demand,16
183,04-04-2024,Sugarcane juice,Beverages,25,5,125,Cash,Mrs.,Midnight,Friday,18:29,New,Dine-In,19,High Demand,50
184,04-04-2024,Cold coffee,Beverages,40,8,320,Cash,Mr.,Night,Wednesday,02:44,Regular,Dine-In,11,High Demand,70
185,04-04-2024,Sugarcane juice,Beverages,25,15,375,Card,Mr.,Night,Monday,04:22,New,Online,8,High Demand,50
186,04-04-2024,Frankie,Fastfood,50,2,100,Online,Mr.,Afternoon,Monday,03:29,New,Online,23,Normal Demand,45
187,04-04-2024,Aalopuri,Fastfood,20,15,300,Cash,Mrs.,Morning,Thursday,12:00,New,Dine-In,6,Normal Demand,17
188,04-04-2024,Panipuri,Fastfood,20,14,280,Cash,Mrs.,Night,Monday,15:00,Returning,Dine-In,16,High Demand,39
189,04-04-2024,Vadapav,Fastfood,20,12,240,Online,Mr.,Afternoon,Wednesday,02:00,New,Takeaway,8,Normal Demand,24
190,04-04-2024,Cold coffee,Beverages,40,1,40,Online,Mr.,Evening,Monday,20:10,Returning,Online,18,High Demand,31
191,04-04-2024,Sugarcane juice,Beverages,25,14,350,Cash,Mrs.,Morning,Monday,07:20,Regular,Dine-In,12,High Demand,69
192,04-04-2024,Vadapav,Fastfood,20,2,40,Online,Mr.,Night,Monday,15:03,Regular,Online,6,Normal Demand,64
193,04-04-2024,Cold coffee,Beverages,40,15,600,Online,Mrs.,Midnight,Tuesday,18:09,Regular,Dine-In,8,High Demand,61
194,04-04-2024,Vadapav,Fastfood,20,4,80,Cash,Mrs.,Morning,Monday,00:50,Returning,Online,14,Normal Demand,37
195,04-04-2024,Sandwich,Fastfood,60,4,240,Cash,Mrs.,Night,Monday,20:51,New,Online,7,Normal Demand,96
196,04-04-2024,Sandwich,Fastfood,60,3,180,Cash,Mr.,Evening,Monday,23:17,Returning,Takeaway,16,Normal Demand,9
197,04-04-2024,Panipuri,Fastfood,20,10,200,Cash,Mrs.,Midnight,Thursday,23:56,New,Takeaway,21,High Demand,35
198,04-04-2024,Frankie,Fastfood,50,15,750,Cash,Mr.,Morning,Monday,03:07,New,Dine-In,10,Normal Demand,12
199,04-04-2024,Frankie,Fastfood,50,6,300,Online,Mrs.,Morning,Monday,09:01,New,Online,23,Normal Demand,34
200,04-04-2024,Cold coffee,Beverages,40,10,400,Cash,Mrs.,Morning,Monday,05:21,Regular,Online,19,High Demand,97
201,04-04-2024,Panipuri,Fastfood,20,8,160,Cash,Mr.,Morning,Monday,10:15,Regular,Online,6,High Demand,37
202,04-04-2024,Aalopuri,Fastfood,20,9,180,Cash,Mr.,Afternoon,Monday,23:04,Returning,Online,14,Normal Demand,91
203,04-04-2024,Vadapav,Fastfood,20,6,120,Online,Mrs.,Midnight,Friday,18:50,New,Dine-In,16,Normal Demand,50
204,04-04-2024,Cold coffee,Beverages,40,7,280,Cash,Mrs.,Evening,Monday,18:58,Regular,Takeaway,16,High Demand,70
205,04-04-2024,Vadapav,Fastfood,20,4,80,Card,Mr.,Afternoon,Monday,10:16,Regular,Takeaway,14,Normal Demand,46
